gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1270051294		application/octet-stream	https://static.inaturalist.org/photos/3846750/original.jpeg?1464526987	http://www.inaturalist.org/photos/3846750			2016-05-27T19:26Z	Rob Speiden		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Rob Speiden
1269567514	StillImage	image/jpeg	https://static.inaturalist.org/photos/3716552/original.jpg?1463628850	http://conabio.inaturalist.org/photos/3716552			2016-05-10T02:11Z	Concepción Miguel Martínez		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Concepción Miguel Martínez
1269567514	StillImage	image/jpeg	https://static.inaturalist.org/photos/3716555/original.jpg?1463628863	http://conabio.inaturalist.org/photos/3716555			2016-05-10T02:11Z	Concepción Miguel Martínez		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Concepción Miguel Martínez
1269567514	StillImage	image/jpeg	https://static.inaturalist.org/photos/3716557/original.jpg?1463628877	http://conabio.inaturalist.org/photos/3716557			2016-05-10T02:11Z	Concepción Miguel Martínez		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Concepción Miguel Martínez
1269567514	StillImage	image/jpeg	https://static.inaturalist.org/photos/3716558/original.jpg?1463628888	http://conabio.inaturalist.org/photos/3716558			2016-05-10T02:11Z	Concepción Miguel Martínez		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Concepción Miguel Martínez
1269541759	StillImage	image/jpeg	https://static.inaturalist.org/photos/3527473/original.jpg?1462027797	http://www.inaturalist.org/photos/3527473			2016-03-15T01:02Z	drocean		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	drocean
1265602125	StillImage	image/png	https://static.inaturalist.org/photos/3505376/original.png?1461785527	http://inaturalist.ca/photos/3505376			2014-08-26T02:00Z	kokanee		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	kokanee
1265600697	StillImage	image/jpeg	https://static.inaturalist.org/photos/3505351/original.jpg?1461785336	http://inaturalist.ca/photos/3505351			2014-10-20T02:00Z	kokanee		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	kokanee
1265589482	StillImage	image/jpeg	https://static.inaturalist.org/photos/3447466/original.jpg?1461277104	http://inaturalist.ca/photos/3447466			2015-02-02T01:00Z	kokanee		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	kokanee
1265587741	StillImage	image/jpeg	https://static.inaturalist.org/photos/3438765/original.jpg?1461219603	http://www.inaturalist.org/photos/3438765			2016-04-21T04:47Z	Miguel Ordeñana		iNaturalist			http://creativecommons.org/licenses/by-nc-nd/4.0/	Miguel Ordeñana
1265583864	StillImage	image/jpeg	https://static.inaturalist.org/photos/3415359/original.JPG?1461052825	http://www.inaturalist.org/photos/3415359			2016-04-15T06:18Z	Miguel Ordeñana		iNaturalist			http://creativecommons.org/licenses/by-nc-nd/4.0/	Miguel Ordeñana
1265563982	StillImage	image/jpeg	https://static.inaturalist.org/photos/3321079/original.jpg?1460173786	http://www.inaturalist.org/photos/3321079			2016-03-20T17:24Z	elkman22		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	elkman22
1265560371	StillImage	image/jpeg	https://static.inaturalist.org/photos/3306529/original.jpg?1459988702	http://www.inaturalist.org/photos/3306529			2016-04-07T02:22Z	boulderbean		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	boulderbean
1265543012	StillImage	image/jpeg	https://static.inaturalist.org/photos/3231198/original.jpg?1459056804	http://www.inaturalist.org/photos/3231198			2016-03-27T01:12Z	m_aniket		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	m_aniket
1265538469	StillImage	image/jpeg	https://static.inaturalist.org/photos/3163162/original.jpg?1458093797	http://www.inaturalist.org/photos/3163162			2015-09-13T13:32Z	mackj		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mackj
1265536940	StillImage	image/jpeg	https://static.inaturalist.org/photos/2994950/original.JPG?1455112217	http://www.inaturalist.org/photos/2994950			2016-01-25T02:55Z	Nicolas Olejnik		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nicolas Olejnik
1265536940	StillImage	image/jpeg	https://static.inaturalist.org/photos/2994951/original.JPG?1455112217	http://www.inaturalist.org/photos/2994951			2016-01-25T02:56Z	Nicolas Olejnik		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nicolas Olejnik
1262387892	StillImage	image/jpeg	https://static.inaturalist.org/photos/3209540/original.jpg?1458759405	http://www.inaturalist.org/photos/3209540			2016-03-19T19:06Z	krivers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	krivers
