gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1500196440	88d8974c-f762-11e1-a439-00145eb45e9a	urn:occurrence:Arctos:UCM:Mamm:3368:3552868	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor	couguar	SUBSPECIES	Puma concolor subsp. couguar (Kerr, 1792)	US	Mahogany Ridge of Cold Spring Mountain	4cadac10-3e7b-11d9-8439-b8a03c50a862									1937-01-04T01:00Z	4	1	1937	6164590	2435099	PRESERVED_SPECIMEN	UCM	Mammal specimens	3368		unknown	CC0_1_0		Collector(s): Carey J. Barber, George Busset			2017-05-06T04:40Z		
1500196439	88d8974c-f762-11e1-a439-00145eb45e9a	urn:occurrence:Arctos:UCM:Mamm:3345:3552871	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor	couguar	SUBSPECIES	Puma concolor subsp. couguar (Kerr, 1792)		no specific locality recorded	4cadac10-3e7b-11d9-8439-b8a03c50a862													6164590	2435099	PRESERVED_SPECIMEN	UCM	Mammal specimens	3345		unknown	CC0_1_0		Collector(s): unknown			2017-05-06T04:40Z		RECORDED_DATE_INVALID
1500196438	88d8974c-f762-11e1-a439-00145eb45e9a	urn:occurrence:Arctos:UCM:Mamm:3346:3552872	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor	couguar	SUBSPECIES	Puma concolor subsp. couguar (Kerr, 1792)		no specific locality recorded	4cadac10-3e7b-11d9-8439-b8a03c50a862													6164590	2435099	PRESERVED_SPECIMEN	UCM	Mammal specimens	3346		unknown	CC0_1_0		Collector(s): unknown			2017-05-06T04:40Z		RECORDED_DATE_INVALID
1500196437	88d8974c-f762-11e1-a439-00145eb45e9a	urn:occurrence:Arctos:UCM:Mamm:3417:3552869	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor	couguar	SUBSPECIES	Puma concolor subsp. couguar (Kerr, 1792)	US	Greystone	4cadac10-3e7b-11d9-8439-b8a03c50a862									1937-02-27T01:00Z	27	2	1937	6164590	2435099	PRESERVED_SPECIMEN	UCM	Mammal specimens	3417		unknown	CC0_1_0		Collector(s): A. D. Taylor			2017-05-06T04:40Z		
1500069033	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297124?seid=3554311	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Big Hatchet Mountian, South Sheridan Canyon	939ed180-aa7b-11db-8edf-b8a03c50a862	31.580295	-108.333998							2015-04-01T02:00Z	1	4	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297124		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068995	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297138?seid=3555438	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Strawberry Peak, W of Socorro	939ed180-aa7b-11db-8edf-b8a03c50a862	34.107036	-107.00499							2015-03-20T01:00Z	20	3	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297138		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068991	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297133?seid=3555433	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	top of Caballo Mountains, just S of Brushy Mountain	939ed180-aa7b-11db-8edf-b8a03c50a862	32.923296	-107.235142							2015-04-20T02:00Z	20	4	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297133		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068989	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297130?seid=3555430	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	San Francisco River, near Big Dry Creek	939ed180-aa7b-11db-8edf-b8a03c50a862	33.21434	-108.907673							2015-03-06T01:00Z	6	3	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297130		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): Lloyd Lindbeck, New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068976	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297137?seid=3555437	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Brushy Mountain	939ed180-aa7b-11db-8edf-b8a03c50a862	32.950527	-107.225132							2014-12-14T01:00Z	14	12	2014	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297137		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1500068975	b15d4952-7d20-46f1-8a3e-556a512b04c5	http://arctos.database.museum/guid/MSB:Mamm:297131?seid=3555431	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	east side of Ladron Peak	939ed180-aa7b-11db-8edf-b8a03c50a862	34.438672	-107.063451							2015-12-26T01:00Z	26	12	2015	2435099	2435099	PRESERVED_SPECIMEN	MSB	Mammal specimens	297131		MSB Division of Mammals Staff (2016)	CC0_1_0		Collector(s): New Mexico Department of Game and Fish; Preparator(s): MSB Division of Mammals Staff (2016)			2017-05-04T04:28Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
